_DialogCode,_Chapter,_Name,_Comment,_Text
Chapter_0-0000100,Prologue-A-Colorful-Entrance,,,"Prologue: Waxing Iridescent
"
Chapter_0-0000300,Prologue-A-Colorful-Entrance,"[School hallway day]
",,"[School hallway day]
"
Chapter_0-0000400,Prologue-A-Colorful-Entrance,"[Intro Music]
",,"[Intro Music]
"
Chapter_0-0000700,Prologue-A-Colorful-Entrance,"Narration:
",,"It's lunch break at school, but the atmosphere is livelier than usual. Oh right, it's Club Day today. You still can't decide which club you want to join this year. 
"
Chapter_0-0000900,Prologue-A-Colorful-Entrance,"Narration:
",,"You stop walking the hallways to look at the board of various club posters. Oh man, you've never joined one before, so the amount of options overwhelm you a little. You think of just joining multiple clubs at a time, but you quickly brush off that thought. Clubs are supposed to be a good break from the humdrum of academics. Don't get ahead of yourself.
"
Chapter_0-0001100,Prologue-A-Colorful-Entrance,"Narration:
",,"There's an art club poster. That's a hard no. The most artistic you've ever been was when you colored the sky a solid green and the ground magenta. Only because the other crayons were missing. And that was in a coloring book. Not fun at all.
"
Chapter_0-0001300,Prologue-A-Colorful-Entrance,"Narration:
",,"There are also a few posters advertising different sports clubs. No thanks. P.E. class already tires you out daily. There's no way you have the endurance to do that kind of stuff in your precious free time. 
"
Chapter_0-0001500,Prologue-A-Colorful-Entrance,"Narration:
",,"Oh god, there's also the paranormal activity club. No way. Nope. You don't take the supernatural as seriously as its club members do. You know this because earlier at brunch today, the club advertised by telling ghost stories that were, in their own words, “real, not clickbait.”
"
Chapter_0-0001700,Prologue-A-Colorful-Entrance,"Narration:
",,"One of them even said, “In fact, there's a ghost in this school right now, giving bad luck to people who are about to do presentations!” Nonsense. You're a junior and you are damn sure that there were no ghosts the entire time you attended school.
"
Chapter_0-0001900,Prologue-A-Colorful-Entrance,"Narration:
",,"It would be fine if the club was interested in ghosts just for fun, but their fervent attitude says otherwise. You shudder at the thought of even talking to them. 
"
Chapter_0-0002100,Prologue-A-Colorful-Entrance,"Narration:
",,"Ooh, a debate club poster. You don't consider yourself a chatterbox, but it's always fascinating to listen to other people's perspectives and find ways to decimate their arguments. It's basically a fun way to talk shit to others. Well, for the most part, save for some annoyingly serious people...
"
Chapter_0-0002300,Prologue-A-Colorful-Entrance,"Narration:
",,"Damn, besides the debate club, it looks like you don't have many good options here.
"
Chapter_0-0002500,Prologue-A-Colorful-Entrance,"Narration:
",,"Wait, what's with that poster over there? 
"
Chapter_0-0002700,Prologue-A-Colorful-Entrance,"[Radio club poster (wall poster). Allow toggle for zoom in to the [RadioClub.png] in Art folder.]
",,"[Radio club poster (wall poster). Allow toggle for zoom in to the [RadioClub.png] in Art folder.]
"
Chapter_0-0002900,Prologue-A-Colorful-Entrance,"Narration:
",,"It advertises... a radio club? Interesting. Teachers love to praise your diction and confidence in your class presentations. This could be worth a try. 
"
Chapter_0-0003100,Prologue-A-Colorful-Entrance,"Narration:
",,"You enter a nearby room with the radio club sign on its door. 
"
Chapter_0-0003300,Prologue-A-Colorful-Entrance,"[Music_Room_Basic]
",,"[Music_Room_Basic]
"
Chapter_0-0003500,Prologue-A-Colorful-Entrance,"[Kyo_BP_Default]
",,"[Kyo_BP_Default]
"
Chapter_0-0003600,Prologue-A-Colorful-Entrance,"[Centered]
",,"[Centered]
"
Chapter_0-0003800,Prologue-A-Colorful-Entrance,"Narration:
",,"There's only one student here. Yet, you can tell that you're in the right place. Her appearance is just as colorful as the poster, and the graffiti beside her only emphasizes that.
"
Chapter_0-0004000,Prologue-A-Colorful-Entrance,"Narration:
",,"The microphone on the other side of the room looks too high for her to reach. That’s a bit weird.
"
Chapter_0-0004200,Prologue-A-Colorful-Entrance,"Narration:
",,"It looks like the girl’s still on her phone. You decide to get her attention.
"
Chapter_0-0004500,Prologue-A-Colorful-Entrance,"Player:
",,"Hi, I wanna join the radio club.
"
Chapter_0-0004800,Prologue-A-Colorful-Entrance,"Narration:
",,"She puts her phone away and turns around.
"
Chapter_0-0005100,Prologue-A-Colorful-Entrance,"??? [Kyo_FP_Shocked]:
",,"AAAAAAAAAAAAAAAAAAAAH!!!
"
Chapter_0-0005400,Prologue-A-Colorful-Entrance,"Narration:
",,"The student's voice then drops a few octaves lower than you expect her to have.
"
Chapter_0-0005700,Prologue-A-Colorful-Entrance,"??? [Kyo_FP_Bruh]:
",,"You fucking scared the shit out of me! My god. 
"
Chapter_0-0006000,Prologue-A-Colorful-Entrance,"Narration:
",,"Well, you now know two things. One, this girl is actually a guy. Two, this dude’s language is as colorful as his hair. What a bombastic impression you’ve left on each other. It only goes uphill from here.
"
Chapter_0-0006300,Prologue-A-Colorful-Entrance,"Player:
",,"Sorry, I just walked in. Is this the wrong room? I think I'm in the wrong ro—
"
Chapter_0-0006600,Prologue-A-Colorful-Entrance,"Kyo [FP_Default]:
",,"No no, wait. I made sure that the door had a sign on it. You're here for the radio club, right?
"
Chapter_0-0006900,Prologue-A-Colorful-Entrance,"Player:
",,"Yeah, that's kinda what I said before you started freaking out. 
"
Chapter_0-0007200,Prologue-A-Colorful-Entrance,"Kyo:
",,"Okay, okay, my bad. I literally didn't hear you walk in. Anyways, hi, I'm Kyo Kaneko. What's your name?
"
Chapter_0-0007500,Prologue-A-Colorful-Entrance,"Player:
",,"I'm [Player]. 
"
Chapter_0-0007800,Prologue-A-Colorful-Entrance,"[Player]. Alright, here's how the club works.
",,"[Player]. Alright, here's how the club works.
"
Chapter_0-0008100,Prologue-A-Colorful-Entrance,"Player:
",,"Wait, you're not gonna be writing anything on the board or something like that?
"
Chapter_0-0008400,Prologue-A-Colorful-Entrance,"Kyo:
",,"Nah. It's not that complicated. 
"
Chapter_0-0008700,Prologue-A-Colorful-Entrance,"Narration:
",,"Is that his way of saying that he's not prepared?
"
Chapter_0-0009000,Prologue-A-Colorful-Entrance,"Kyo:
",,"For now, this club mainly does school announcements, but I plan to make it so that we also do podcasting too. 
"
Chapter_0-0009300,Prologue-A-Colorful-Entrance,"Narration:
",,"You reach into your backpack.
"
Chapter_0-0009500,Prologue-A-Colorful-Entrance,"Narration:
",,"Kyo looks at you in confusion.
"
Chapter_0-0009800,Prologue-A-Colorful-Entrance,"Player:
",,"Oh don't mind me, I'm just gonna eat my lunch.
"
Chapter_0-0010100,Prologue-A-Colorful-Entrance,"Kyo:
",,"Ooh, what are you having?
"
Chapter_0-0010400,Prologue-A-Colorful-Entrance,"Player:
",,"Butter croissants.
"
Chapter_0-0010700,Prologue-A-Colorful-Entrance,"Narration:
",,"Kyo stares at your bread a little longer than you want him to.
"
Chapter_0-0011000,Prologue-A-Colorful-Entrance,"Kyo:
",,"Can I have some?
"
Chapter_0-0011200,Prologue-A-Colorful-Entrance,"[Proceed to two choices: <Sure, you can have a bit.> or <No, this is mine. Get your own.>
",,"[Proceed to two choices: <Sure, you can have a bit.> or <No, this is mine. Get your own.>
"
Chapter_0-0011400,Prologue-A-Colorful-Entrance,"[Choice 1: Sure, you can have a bit.]
",,"[Choice 1: Sure, you can have a bit.]
"
Chapter_0-0011700,Prologue-A-Colorful-Entrance,"Kyo [FP_Bruh]:
",,"Actually, never mind. There are probably some RAAAAAAAANCID germs in there. I don't want any of that. I refuuuuuuuuuuse.
"
Chapter_0-0012000,Prologue-A-Colorful-Entrance,"Narration:
",,"The nerve of this guy...! 
"
Chapter_0-0012200,Prologue-A-Colorful-Entrance,"[Scene reconverges here]
",,"[Scene reconverges here]
"
Chapter_0-0012500,Prologue-A-Colorful-Entrance,"[Choice 2: No, this is mine. Get your own.]
",,"[Choice 2: No, this is mine. Get your own.]
"
Chapter_0-0012700,Prologue-A-Colorful-Entrance,"[Kyo_FP_Bruh]
",,"[Kyo_FP_Bruh]
"
Chapter_0-0013000,Prologue-A-Colorful-Entrance,"Narration:
",,"Kyo whines and pouts.
"
Chapter_0-0013200,Prologue-A-Colorful-Entrance,"Narration:
",,"What is up with this guy? Yet, you find his pouting face a little cute. Like a puntable cat. 
"
Chapter_0-0013300,Prologue-A-Colorful-Entrance,"[Scene Reconverges Here]
",,"[Scene Reconverges Here]
"
