_DialogCode,_Chapter,_Name,_Comment,_Text
Chapter_epi-0000100,Epilogue-A-Prismatic-Farewell,,,"Epilogue: A Prismatic Farewell
"
Chapter_epi-0000300,Epilogue-A-Prismatic-Farewell,"[Music Room Basic All]
",,"[Music Room Basic All]
"
Chapter_epi-0000400,Epilogue-A-Prismatic-Farewell,"[Outro BGM]
",,"[Outro BGM]
"
Chapter_epi-0000700,Epilogue-A-Prismatic-Farewell,"Narration:
",,"After finally registering the club last week, you walk into the radio club classroom with a little bounce in your steps. It's the first official radio club meeting today, and you're excited!
"
Chapter_epi-0000900,Epilogue-A-Prismatic-Farewell,"Narration:
",,"You look at the notes you wrote on your phone to remember what you're discussing with all the club members. It's simple enough: assign roles to the club members and finalize the plan for future activities.
"
Chapter_epi-0001100,Epilogue-A-Prismatic-Farewell,"Narration:
",,"Now you just need to wait for them to show up. They didn't forget about you telling them earlier in the day to meet you at lunch, right? You hope not.
"
Chapter_epi-0001300,Epilogue-A-Prismatic-Farewell,"Narration:
",,"Speaking of showing up, will Kyo even be here? You weren't even able to tell him all the good news, because you haven't seen him all day. Well, it's on him for choosing to miss this momentous occasion.
"
Chapter_epi-0001500,Epilogue-A-Prismatic-Farewell,"Narration:
",,"The door opens.
"
Chapter_epi-0001700,Epilogue-A-Prismatic-Farewell,"[Atria1_happy, left]
",,"[Atria1_happy, left]
"
Chapter_epi-0002000,Epilogue-A-Prismatic-Farewell,"Atria:
",,"I'm here.
"
Chapter_epi-0002200,Epilogue-A-Prismatic-Farewell,"[Skye_smile, center]
",,"[Skye_smile, center]
"
Chapter_epi-0002500,Epilogue-A-Prismatic-Farewell,"Skye:
",,"And so am I!
"
Chapter_epi-0002800,Epilogue-A-Prismatic-Farewell,"Player:
",,"Now, where the heck is Esme—
"
Chapter_epi-0003000,Epilogue-A-Prismatic-Farewell,"[Esmeray_neutral, right]
",,"[Esmeray_neutral, right]
"
Chapter_epi-0003300,Epilogue-A-Prismatic-Farewell,"Esmeray:
",,"My bad. Had to shake off my fans, but I'm good now. 
"
Chapter_epi-0003600,Epilogue-A-Prismatic-Farewell,"Skye:
",,"Pssh, okay, Mr. Famous.
"
Chapter_epi-0003900,Epilogue-A-Prismatic-Farewell,"Player:
",,"You sure they're not gonna follow you?
"
Chapter_epi-0004200,Epilogue-A-Prismatic-Farewell,"Esmeray:
",,"I mean, more club members, am I right?
"
Chapter_epi-0004500,Epilogue-A-Prismatic-Farewell,"Narration:
",,"The three of you stare at him.
"
Chapter_epi-0004800,Epilogue-A-Prismatic-Farewell,"Esmeray [Amused]:
",,"Okay okay, I'm just kidding. I was a little late on finishing my classwork. I'll be early next time.
"
Chapter_epi-0005100,Epilogue-A-Prismatic-Farewell,"Player:
",,"I'll hold you to that.
"
Chapter_epi-0005400,Epilogue-A-Prismatic-Farewell,"Narration:
",,"Esmeray laughs.
"
Chapter_epi-0005700,Epilogue-A-Prismatic-Farewell,"Player:
",,"Alright y'all, we got business to take care of. First, we gotta decide what our roles are.
"
Chapter_epi-0006000,Epilogue-A-Prismatic-Farewell,"Skye:
",,"Well, it's obvious what you're gonna be. Club president! 
"
Chapter_epi-0006300,Epilogue-A-Prismatic-Farewell,"Narration:
",,"You put your hands on your hips.
"
Chapter_epi-0006600,Epilogue-A-Prismatic-Farewell,"Player:
",,"Yup! I'll be doing more of the behind the scenes stuff. As for the other roles… 
"
Chapter_epi-0006900,Epilogue-A-Prismatic-Farewell,"Skye:
",,"I've already decided.
"
Chapter_epi-0007200,Epilogue-A-Prismatic-Farewell,"Player:
",,"Wait, I haven't even said what the other roles are yet.
"
Chapter_epi-0007500,Epilogue-A-Prismatic-Farewell,"Skye:
",,"Well, you're gonna need someone to write scripts, right? Then I'll do it.
"
Chapter_epi-0007800,Epilogue-A-Prismatic-Farewell,"Player:
",,"Sounds good. 
"
Chapter_epi-0008100,Epilogue-A-Prismatic-Farewell,"Skye:
",,"I can also get the latest scoops on what's going around at school. The janitor's closet is quite handy for getting a hold of hot tea, you know.
"
