_DialogCode,_Chapter,_Name,_Comment,_Text
Chapter_1_0000100,Healing-the-Conditioned-Puppet,,,"Chapter 1: Healing the Conditioned Puppet
"
Chapter_1_0000300,Healing-the-Conditioned-Puppet,"[School Rooftop Day]
",,"[School Rooftop Day]
"
Chapter_1_0000400,Healing-the-Conditioned-Puppet,"[Atria's BGM]
",,"[Atria's BGM]
"
Chapter_1_0000700,Healing-the-Conditioned-Puppet,"Narration:
",,"...
"
Chapter_1_0000900,Healing-the-Conditioned-Puppet,"Narration:
",,"The fresh air really is relaxing when there's so much going on. Having to recruit members for a radio club of all things, and so suddenly too... as if that isn't crazy enough, the amount of drama at the school has been...irritating, to say the least.
"
Chapter_1_0001100,Healing-the-Conditioned-Puppet,"Narration:
",,"Hell, it's insane. ...Those damn rumors that the school is haunted are... unnerving, to say the least.
"
Chapter_1_0001400,Healing-the-Conditioned-Puppet,"Player:
",,"...People are so desperate to just get a reaction out of people, huh... at this point I don't doubt this school's going to digress into chaos.
"
Chapter_1_0001700,Healing-the-Conditioned-Puppet,"Kyo [Kyo_FP_Smiling]:
",,"Chaos? I call it fun!
"
Chapter_1_0002000,Healing-the-Conditioned-Puppet,"Player:
",,"WHAT TH&mdash;
"
Chapter_1_0002300,Healing-the-Conditioned-Puppet,"Kyo:
",,"Have you found any recruits yet?
"
Chapter_1_0002600,Healing-the-Conditioned-Puppet,"Player:
",,"...Warn me next time before sneaking up on me, will you??
"
Chapter_1_0002900,Healing-the-Conditioned-Puppet,"Kyo [Kyo_FP_Cheerful]:
",,"No thanks.
"
Chapter_1_0003200,Healing-the-Conditioned-Puppet,"Narration:
",,"Kyo leans forward, his hands on his hips. His expression screams nothing but smug mockery, plainly amused at your annoyance.
"
Chapter_1_0003500,Healing-the-Conditioned-Puppet,"Kyo:
",,"Now, you've found someone, right? Surely it can't be so hard to evaluate who here is a good candidate. Not when there are very few people who stand out amongst the rest.
"
Chapter_1_0003800,Healing-the-Conditioned-Puppet,"Narration:
",,"He speaks as if he already has certain people in mind. If so, why is he so insistent on you recruiting members as opposed to him?
"
Chapter_1_0004100,Healing-the-Conditioned-Puppet,"Player:
",,"No, Kyo, it has quite literally only been a couple hours.
"
Chapter_1_0004400,Healing-the-Conditioned-Puppet,"Kyo [Kyo_FP_Bruh]:
",,"Mhm... from the way you're acting now, I've most likely put too much faith in you... I guarantee you're just too introverted to go up and ask someone to join.
"
Chapter_1_0004700,Healing-the-Conditioned-Puppet,"Player:
",,"...Actually, I genuinely haven't seen anyone who looks suitable. A radio club requires someone who is willing to... well, talk. Right?
"
Chapter_1_0005000,Healing-the-Conditioned-Puppet,"Kyo:
",,"Right...
"
Chapter_1_0005200,Healing-the-Conditioned-Puppet,"Kyo:
",,"You sure you're not just scared to interact with people?
"
Chapter_1_0005500,Healing-the-Conditioned-Puppet,"Player:
",,"Shut up.
"
