_DialogCode,_Chapter,_Name,_Comment,_Text
Chapter_3_0000100,Confronting-the-Moon-Prince,,,"Chapter 3: Confronting the Moon Prince
"
Chapter_3_0000300,Confronting-the-Moon-Prince,"[Radio Club Basic + Printer + Mic + Laptop]
",,"[Radio Club Basic + Printer + Mic + Laptop]
"
Chapter_3_0000400,Confronting-the-Moon-Prince,"[Esmeray's BGM]
",,"[Esmeray's BGM]
"
Chapter_3_0000700,Confronting-the-Moon-Prince,"Narration:
",,"It’s been a couple of days since Skye joined the group.
"
Chapter_3_0000900,Confronting-the-Moon-Prince,"Narration:
",,"The Radio Club is now livelier than ever, much to Kyo’s playful dismay, as you, Atria, and Skye chat loudly and often in the club room.
"
Chapter_3_0001100,Confronting-the-Moon-Prince,"Narration:
",,"Now, all you need is one more member to make the club official. But who?
"
Chapter_3_0001300,Confronting-the-Moon-Prince,"[Transition to School Hallway Day]
",,"[Transition to School Hallway Day]
"
Chapter_3_0001600,Confronting-the-Moon-Prince,"Narration:
",,"As you’re deep in thought and walking down the hallways of ILUNA Academy, you snap to attention when you hear loud giggles, flirts, and cheers coming from a crowd in front of you.
"
Chapter_3_0001800,Confronting-the-Moon-Prince,"[Esmeray (Amused) Appears on Screen, labeled as ???]
",,"[Esmeray (Amused) Appears on Screen, labeled as ???]
"
Chapter_3_0002000,Confronting-the-Moon-Prince,"Narration:
",,"In the center of the crowd is a tall dude with dark turquoise hair, lots of black and shiny bling, and pretty turquoise-gold eyes.
"
Chapter_3_0002200,Confronting-the-Moon-Prince,"Narration:
",,"Some of the people in the crowd have signs in their hands.
"
Chapter_3_0002400,Confronting-the-Moon-Prince,"Narration:
",,"""We love you, Esmeray!"" says the one in the hands of an enthusiastically cheering girl.
"
Chapter_3_0002600,Confronting-the-Moon-Prince,"Narration:
",,"""The Prince of the Dark Moon, and my heart <3"" says another in the hands of a tall, totally smitten boy.
"
Chapter_3_0002800,Confronting-the-Moon-Prince,"Narration:
",,"The person in the center winks at the two of them, a lax smile on his face as he does so.
"
Chapter_3_0003000,Confronting-the-Moon-Prince,"Narration:
",,"The two start squealing before the girl faints in the boy’s arms, making him drop his sign.
"
Chapter_3_0003300,Confronting-the-Moon-Prince,"Player:
",,"That must be the popular guy of the school I heard about. Esmeray Regulus, I think?
"
Chapter_3_0003600,Confronting-the-Moon-Prince,"Narration:
",,"You don’t really pay too much attention to the crowd. If anything, it’s a little annoying.
"
Chapter_3_0003800,Confronting-the-Moon-Prince,"Narration:
",,"The bell rings, meaning most students will be late to their class if they don’t get going, including yourself.
"
Chapter_3_0004100,Confronting-the-Moon-Prince,"Student:
",,"	See you later, Esmeray!
"
Chapter_3_0004400,Confronting-the-Moon-Prince,"Narration:
",,"You walk past the crowd, hearing Esmeray laugh at the random person and wave at them.
"
Chapter_3_0004600,Confronting-the-Moon-Prince,"Narration:
",,"	You slow down your pace. Something about that laugh is weird.
"
Chapter_3_0004800,Confronting-the-Moon-Prince,"Narration:
",,"	You turn around, looking closely at Esmeray.
"
Chapter_3_0005000,Confronting-the-Moon-Prince,"Narration:
",,"Sure enough, although Esmeray’s face is smiling, his eyes look empty.
"
Chapter_3_0005200,Confronting-the-Moon-Prince,"Narration:
",,"You move so that you're partially hidden by a nearby trash can, continuing to observe Esmeray.
"
Chapter_3_0005400,Confronting-the-Moon-Prince,"[Esmeray Unamused]
",,"[Esmeray Unamused]
"
Chapter_3_0005600,Confronting-the-Moon-Prince,"Narration:
",,"Once the crowd is gone, you see Esmeray’s smile fall, and his entire face becomes cold. He then starts trudging to his class.
"
Chapter_3_0005800,Confronting-the-Moon-Prince,"Narration:
",,"Your eyes widen at what you've just seen, but your thoughts will have to wait. You’re late to class!
"
Chapter_3_0006000,Confronting-the-Moon-Prince,"[Transition to Hallway BG]
",,"[Transition to Hallway BG]
"
Chapter_3_0006100,Confronting-the-Moon-Prince,"[No Sprites]
",,"[No Sprites]
"
Chapter_3_0006400,Confronting-the-Moon-Prince,"Narration:
",,"The day is finally over, and you're heading to the Radio Club. You need to strategize with Kyo on how to gain your last member.
"
Chapter_3_0006600,Confronting-the-Moon-Prince,"Narration:
",,"On your way there, you hear the faint sounds of guitar chords accompanied by a muffled voice.
"
Chapter_3_0006900,Confronting-the-Moon-Prince,"Player:
",,"I shouldn’t peek… I’m a little busy…
"
Chapter_3_0007200,Confronting-the-Moon-Prince,"Narration:
",,"But your curiosity is winning today.
"
Chapter_3_0007400,Confronting-the-Moon-Prince,"Narration:
",,"Quietly, you walk towards the source of the noise.
"
Chapter_3_0007600,Confronting-the-Moon-Prince,"Narration:
",,"As you get closer, the guitar chord sounds morph into a soft melody, and with it the muffled voice is now distinct and clear.
"
Chapter_3_0007800,Confronting-the-Moon-Prince,"Narration:
",,"The voice leads you to the entrance of an empty classroom, door slightly ajar, enough to hear the song.
"
Chapter_3_0008000,Confronting-the-Moon-Prince,"Narration:
",,"The lovely tenor voice makes you almost breathless. You have to see who’s making that song.
"
Chapter_3_0008200,Confronting-the-Moon-Prince,"Narration:
",,"You creep up closer to the crack of the door and carefully pull it wider. Your eyes open in shock.
"
Chapter_3_0008400,Confronting-the-Moon-Prince,"[Esmeray CG]
",,"[Esmeray CG]
"
Chapter_3_0008700,Confronting-the-Moon-Prince,"Esmeray:
",,"	Don’t need the plastic smiles all up in my face
"
Chapter_3_0008800,Confronting-the-Moon-Prince,"Esmeray:
",,"	Just wanna be a moonchild and stay in outer space~
"
Chapter_3_0009000,Confronting-the-Moon-Prince,"Esmeray:
",,"	Don’t wanna keep on going on like this
"
Chapter_3_0009100,Confronting-the-Moon-Prince,"Esmeray:
",,"	These people all really like to miss
"
Chapter_3_0009200,Confronting-the-Moon-Prince,"Esmeray:
",,"	The fact that I don’t care…
"
Chapter_3_0009300,Confronting-the-Moon-Prince,"Esmeray:
",,"	A fact that they can’t bear…
"
Chapter_3_0009500,Confronting-the-Moon-Prince,"Esmeray:
",,"	…
"
Chapter_3_0009700,Confronting-the-Moon-Prince,"Esmeray:
",,"	…Someday I will travel far
"
Chapter_3_0009800,Confronting-the-Moon-Prince,"Esmeray:
",,"	Riding on a shooting star
"
Chapter_3_0009900,Confronting-the-Moon-Prince,"Esmeray:
",,"	Leaving won’t give me a scar
"
Chapter_3_0010000,Confronting-the-Moon-Prince,"Esmeray:
",,"Cause all I need is me and my guitar~!
"
Chapter_3_0010200,Confronting-the-Moon-Prince,"[END CG]
",,"[END CG]
"
Chapter_3_0010400,Confronting-the-Moon-Prince,"[Esmeray Genuine]
",,"[Esmeray Genuine]
"
Chapter_3_0010500,Confronting-the-Moon-Prince,"[Generic Classroom background]
",,"[Generic Classroom background]
"
Chapter_3_0010800,Confronting-the-Moon-Prince,"Narration:
",,"	You’re in awe, to say the least.
"
Chapter_3_0011000,Confronting-the-Moon-Prince,"Narration:
",,"Who would’ve thought that the school’s resident popular guy is also a musical talent?
"
Chapter_3_0011300,Confronting-the-Moon-Prince,"Player:
",,"	…How amazing would it be if he joined the Radio Club?
"
Chapter_3_0011500,Confronting-the-Moon-Prince,"Player:
",,"…Yeah! Wouldn’t he be a good person to arrange music to broadcast? His voice is perfect!
"
Chapter_3_0011700,Confronting-the-Moon-Prince,"Player:
",,"…
"
Chapter_3_0011900,Confronting-the-Moon-Prince,"Player:
",,"Should I try to invite him?
"
Chapter_3_0012100,Confronting-the-Moon-Prince,"[Proceed to two choices: <Knock and try to invite Esmeray> or <Don't knock and invite Esmeray>]
",,"[Proceed to two choices: <Knock and try to invite Esmeray> or <Don't knock and invite Esmeray>]
"
Chapter_3_0012300,Confronting-the-Moon-Prince,"[Choice 1: Knock and try to invite Esmeray to the Club]
",,"[Choice 1: Knock and try to invite Esmeray to the Club]
"
Chapter_3_0012600,Confronting-the-Moon-Prince,"Narration:
",,"You take a deep breath and knock quietly before walking into the classroom.
"
Chapter_3_0012800,Confronting-the-Moon-Prince,"[Esmeray Unamused]
",,"[Esmeray Unamused]
"
Chapter_3_0013000,Confronting-the-Moon-Prince,"Narration:
",,"Esmeray immediately stops playing, his face loses its smile, and he turns to you with a cold face.
"
Chapter_3_0013200,Confronting-the-Moon-Prince,"[Scene reconverges here]
",,"[Scene reconverges here]
"
Chapter_3_0013400,Confronting-the-Moon-Prince,"[Choice 2: Don’t Knock and invite Esmeray]
",,"[Choice 2: Don’t Knock and invite Esmeray]
"
Chapter_3_0013700,Confronting-the-Moon-Prince,"Narration:
",,"You hesitate in asking Esmeray to join.
"
Chapter_3_0013900,Confronting-the-Moon-Prince,"Narration:
",,"He’s very high profile! Why would he want to join a club that no one knows about?
"
Chapter_3_0014100,Confronting-the-Moon-Prince,"Narration:
",,"While you were deliberating, you accidentally shuffle in place, bumping into the classroom’s door.
"
Chapter_3_0014300,Confronting-the-Moon-Prince,"Narration:
",,"*CREAK* [Door creak SFX]
"
