_DialogCode,_Chapter,_Name,_Comment,_Text
Chapter_E-0000100,Epilogue-Waning-Iridescent,,,"Epilogue: Waning Iridescent 
"
Chapter_E-0000300,Epilogue-Waning-Iridescent,"[Music Room Basic All]
",,"[Music Room Basic All]
"
Chapter_E-0000400,Epilogue-Waning-Iridescent,"[Outro BGM]
",,"[Outro BGM]
"
Chapter_E-0000700,Epilogue-Waning-Iridescent,"Narration:
",,"After finally registering the club last week, you walk into the radio club classroom with a little bounce in your steps. It's the first official radio club meeting today, and you’re excited! 
"
Chapter_E-0000900,Epilogue-Waning-Iridescent,"Narration:
",,"You look at the notes you wrote on your phone to remember what you’re discussing with all the club members. It’s simple enough: assign roles to the club members and finalize the plan for future activities.
"
Chapter_E-0001100,Epilogue-Waning-Iridescent,"Narration:
",,"Now you just need to wait for them to show up. They didn’t forget about you telling them earlier in the day to meet you at lunch, right? You hope not.
"
Chapter_E-0001300,Epilogue-Waning-Iridescent,"Narration:
",,"Speaking of showing up, will Kyo even be here? You weren’t even able to tell him all the good news, because you haven’t seen him all day. Well, it’s on him for choosing to miss this momentous occasion.
"
Chapter_E-0001500,Epilogue-Waning-Iridescent,"Narration:
",,"The door opens.
"
Chapter_E-0001700,Epilogue-Waning-Iridescent,"[Atria1_happy, left]
",,"[Atria1_happy, left]
"
Chapter_E-0002000,Epilogue-Waning-Iridescent,"Atria:
",,"I’m here.
"
Chapter_E-0002200,Epilogue-Waning-Iridescent,"[Skye_smile, center]
",,"[Skye_smile, center]
"
Chapter_E-0002500,Epilogue-Waning-Iridescent,"Skye:
",,"And so am I!
"
Chapter_E-0002800,Epilogue-Waning-Iridescent,"Player:
",,"Now, where the heck is Esme—
"
Chapter_E-0003000,Epilogue-Waning-Iridescent,"[Esmeray_neutral, right]
",,"[Esmeray_neutral, right]
"
Chapter_E-0003300,Epilogue-Waning-Iridescent,"Esmeray:
",,"My bad. Had to shake off my fans, but I’m good now. 
"
Chapter_E-0003600,Epilogue-Waning-Iridescent,"Skye:
",,"Pssh, okay, Mr. Famous.
"
Chapter_E-0003900,Epilogue-Waning-Iridescent,"Player:
",,"You sure they’re not gonna follow you?
"
Chapter_E-0004200,Epilogue-Waning-Iridescent,"Esmeray:
",,"I mean, more club members, am I right?
"
Chapter_E-0004500,Epilogue-Waning-Iridescent,"Narration:
",,"The three of you stare at him.
"
Chapter_E-0004800,Epilogue-Waning-Iridescent,"Esmeray [Amused]:
",,"Okay, okay, I’m just kidding. I was a little late finishing my classwork. I’ll be early next time.
"
Chapter_E-0005100,Epilogue-Waning-Iridescent,"Player:
",,"I’ll hold you to that.
"
Chapter_E-0005400,Epilogue-Waning-Iridescent,"Narration:
",,"Esmeray laughs.
"
Chapter_E-0005700,Epilogue-Waning-Iridescent,"Player:
",,"Alright y’all, we got business to take care of. First, we gotta decide what our roles are.
"
Chapter_E-0006000,Epilogue-Waning-Iridescent,"Skye:
",,"Well, it’s obvious what you’re gonna be. Club president! 
"
