_DialogCode,_Chapter,_Name,_Comment,_Text
Chapter_2-0000100,Shrewd-Dreamer,,,"Chapter 2: Befriending the Shrewd Dreamer
"
Chapter_2-0000300,Shrewd-Dreamer,"[Background: School Hallway]
",,"[Background: School Hallway]
"
Chapter_2-0000400,Shrewd-Dreamer,"[Skye's BGM]
",,"[Skye's BGM]
"
Chapter_2-0000700,Shrewd-Dreamer,"Player and Kyo [Kyo_FP_Default]:
",,"Yawn…
"
Chapter_2-0001000,Shrewd-Dreamer,"Narration:
",,"You and Kyo sleepily make your way down through the quiet school corridor to the radio club room. Neither of you were fit to stand, let alone walk, but–
"
Chapter_2-0001300,Shrewd-Dreamer,"Player:
",,"Why are we here this early again? School hasn't even started yet…
"
Chapter_2-0001600,Shrewd-Dreamer,"Kyo:
",,"I'm not happy about this either, but someone needs to prep the club equipment. S'not like we got a tonna members to figure this shit out yet.
"
Chapter_2-0001900,Shrewd-Dreamer,"Player:
",,"We'd have more members if you actually helped with recruitment y'know.
"
Chapter_2-0002200,Shrewd-Dreamer,"Kyo:
",,"Hey, that's what you're for. I have very important club president things to deal with.
"
Chapter_2-0002500,Shrewd-Dreamer,"Narration:
",,"You grumble, but the both of you continue to make your way down the hall. Even if you lumbered the whole way like a zombie who had already lost its head, only the empty corridors and a snickering Kyo would witness such a scene.
"
Chapter_2-0002700,Shrewd-Dreamer,"[Kyo sprite moves to left.]
",,"[Kyo sprite moves to left.]
"
Chapter_2-0002800,Shrewd-Dreamer,"[Skye_Smile at right, darkened]
",,"[Skye_Smile at right, darkened]
"
Chapter_2-0003100,Shrewd-Dreamer,"???:
",,"–so with some struggle, you are able to ingest the Baia Bamare figure that is now inside your stomach–
"
Chapter_2-0003300,Shrewd-Dreamer,"[Kyo_FP_Shocked]
",,"[Kyo_FP_Shocked]
"
Chapter_2-0003600,Shrewd-Dreamer,"Narration:
",,"A muffled but excited voice catches your attention, stopping you in your tracks. The odd words are inescapable even to your drowsy heads.
"
Chapter_2-0003900,Shrewd-Dreamer,"???:
",,"–Arkillia goes ahead and grabs the letter opener and puts it in their pocket…
"
Chapter_2-0004200,Shrewd-Dreamer,"Player and Kyo:
",,"…
"
Chapter_2-0004500,Shrewd-Dreamer,"Narration:
",,"The voice continues to excitedly narrate, small mutters and giggles leaking from a small janitor's closet stuffed away in the corner of the school corridor. 
"
Chapter_2-0004700,Shrewd-Dreamer,"Narration:
",,"Both you and Kyo look at each other baffled.
"
Chapter_2-0004900,Shrewd-Dreamer,"[Kyo sprite disappears]
",,"[Kyo sprite disappears]
"
Chapter_2-0005200,Shrewd-Dreamer,"???:
",,"–You hear the doorknob turning. As the door swings open, Eliza reenters. Alright! Let's wrap things up here! She pops into her chair, reorganising her papers, unaware that you've been searching through them–
"
Chapter_2-0005500,Shrewd-Dreamer,"Narration:
",,"You approach the door, giving it a tentative knock that abruptly silences the voice.
"
Chapter_2-0005800,Shrewd-Dreamer,"Player:
",,"…
"
Chapter_2-0006100,Shrewd-Dreamer,"Narration:
",,"You bring your hand forward to knock again when the door slowly creaks open.
"
Chapter_2-0006400,Shrewd-Dreamer,"Girl in the Closet:
",,"C-Can I help you?
"
Chapter_2-0006600,Shrewd-Dreamer,"[Skye Default Sprite, normal brightness]
",,"[Skye Default Sprite, normal brightness]
"
Chapter_2-0006900,Shrewd-Dreamer,"Narration:
",,"The girl that meets you as the door opens has a cold look firmly set on her face, flinty eyes glaring at you imperiously. Had she not stuttered, her attempt at intimidation might’ve actually worked… well, probably.
"
Chapter_2-0007100,Shrewd-Dreamer,"Narration:
",,"A slight flush climbs her face at her stumble, but she stubbornly continues to try and fake disinterest. She’s failing miserably, but you could say she was attempting it with an almost admirable persistence.
"
Chapter_2-0007400,Shrewd-Dreamer,"Player:
",,"Uhhh… I heard you talking, and… was wondering what you were doing in the closet…?
"
Chapter_2-0007700,Shrewd-Dreamer,"Narration:
",,"The flush on the girl’s face only grew, her flusteredness leaking into her words, making her ramble slightly.
"
Chapter_2-0008000,Shrewd-Dreamer,"Girl in the Closet:
",,"Well if you must know, I was conducting a very important meeting with my friends. The closet just happens to be a very convenient place for us to do so without any disturbance or without inadvertently disturbing anyone else.
"
Chapter_2-0008300,Shrewd-Dreamer,"Narration:
",,"She pushes the closet door open further, stepping out into the hallway. She dusts her skirt off primly, not at all subtly looking away in embarrassment. The closet, left open as it was, shows no one else inside. 
"
Chapter_2-0008500,Shrewd-Dreamer,"Narration:
",,"You look back at Kyo in confusion, receiving an equally confused look from the blue haired boy. 
"
Chapter_2-0008700,Shrewd-Dreamer,"Narration:
",,"You turn back to the girl who in turn looks at you strangely, darting her eyes towards Kyo questioningly.
"
Chapter_2-0008900,Shrewd-Dreamer,"Narration:
",,"You shrug off the girl’s still strange choice of meeting location and lack of other people to have a meeting with. Not that you could really judge people on their social choices. After all, most would probably call you crazy for befriending Kyo…
"
Chapter_2-0009200,Shrewd-Dreamer,"Player:
",,"I heard you narrating? I think? You speak really well.
"
Chapter_2-0009500,Shrewd-Dreamer,"Narration:
",,"A surprised expression flickers through her face before her attempt at a cool expression slides back into place. Her expressiveness, still not hiding her feelings, allows a small bit of smug pride to shine through.
"
Chapter_2-0009800,Shrewd-Dreamer,"Girl no longer in Closet:
",,"Of course! I love playing as my party's Game Master, and I work hard to make every game enjoyable.
"
Chapter_2-0010100,Shrewd-Dreamer,"Narration:
",,"A shy expression flickers on her face before she extends her hand towards you in a handshake.
"
Chapter_2-0010400,Shrewd-Dreamer,"Girl no Longer in Closet:
",,"My name's Skye, Skye Oriana, what’s your name?
"
Chapter_2-0010700,Shrewd-Dreamer,"Player:
",,"I'm Player. Nice to meet you. 
"
Chapter_2-0011000,Shrewd-Dreamer,"Narration:
",,"You take her hand with a smile, receiving a small smile back.
"
Chapter_2-0011200,Shrewd-Dreamer,"Narration:
",,"Kyo coughs behind you, reminding you that you were in school this early for a reason. At this rate, class would start before you could finish your duties for the radio club.
"
Chapter_2-0011400,Shrewd-Dreamer,"[Proceed to two choices: <Don’t invite her to the radio club> or <Invite her to the radio club>]
",,"[Proceed to two choices: <Don’t invite her to the radio club> or <Invite her to the radio club>]
"
Chapter_2-0011600,Shrewd-Dreamer,"[Choice 1: Don't invite her to the radio club]
",,"[Choice 1: Don't invite her to the radio club]
"
Chapter_2-0011800,Shrewd-Dreamer,"[Skye Sprite disappears]
",,"[Skye Sprite disappears]
"
Chapter_2-0011900,Shrewd-Dreamer,"[Kyo _FP_Default Appears]
",,"[Kyo _FP_Default Appears]
"
Chapter_2-0012200,Shrewd-Dreamer,"Narration:
",,"You take a step back, standing side by side with Kyo once again. He looks at you with a raised brow, unsubtly gesturing towards Skye and muttering quietly.
"
Chapter_2-0012500,Shrewd-Dreamer,"Kyo:
",,"You thinking of inviting her?
"
Chapter_2-0012800,Shrewd-Dreamer,"Narration:
",,"Surprised at Kyo’s sudden interest, you look at him questioningly.
"
Chapter_2-0013100,Shrewd-Dreamer,"Player:
",,"Think it's a good idea? We don't really know her…
"
Chapter_2-0013400,Shrewd-Dreamer,"Kyo:
",,"Man, do you think we're in any position to be picky? Bet you're just too chicken to ask.
"
Chapter_2-0013600,Shrewd-Dreamer,"[Kyo sprite disappears]
",,"[Kyo sprite disappears]
"
Chapter_2-0013700,Shrewd-Dreamer,"[Skye Default Sprite Appears]
",,"[Skye Default Sprite Appears]
"
Chapter_2-0014000,Shrewd-Dreamer,"Narration:
",,"You roll your eyes at his obvious bait – he was the one pushing recruitment off onto you so it wasn't like he could talk. 
"
Chapter_2-0014200,Shrewd-Dreamer,"Narration:
",,"With a grumble, you turn back to Skye, who blinks weirdly at you, looking strangely at the both of you muttering at each other.
"
Chapter_2-0014400,Shrewd-Dreamer,"[Scene reconverges here]
",,"[Scene reconverges here]
"
Chapter_2-0014600,Shrewd-Dreamer,"[Choice 2: Invite her to the radio club]
",,"[Choice 2: Invite her to the radio club]
"
Chapter_2-0014700,Shrewd-Dreamer,"[Scene reconverges here]
",,"[Scene reconverges here]
"
Chapter_2-0015000,Shrewd-Dreamer,"Player:
",,"Hey, we're currently recruiting members for the radio club, do you… wanna join?
"
Chapter_2-0015200,Shrewd-Dreamer,"[Skye_Smile]
",,"[Skye_Smile]
"
Chapter_2-0015400,Shrewd-Dreamer,"Narration:
",,"Skye's eyebrows shoot up in surprise, a small smile subconsciously spreading across her face. She looks at you in confused delight as you continue your invitation.
"
Chapter_2-0015700,Shrewd-Dreamer,"Player:
",,"We don't have a lot of members but we're pretty sure we can get more people to sign up. I think you'd be a perfect fit for a broadcaster. You think you'd be up for it?
"
Chapter_2-0016000,Shrewd-Dreamer,"Narration:
",,"A lost look of wonder briefly crosses her eyes before quickly dimming. She looks to the side, her eyes contemplative. Skye hums consideringly before answering mildly.
"
Chapter_2-0016300,Shrewd-Dreamer,"Skye:
",,"Well, I'll have to talk to my friends first, not sure I'll have the time considering all the things that I've been needing to do lately.
"
Chapter_2-0016600,Shrewd-Dreamer,"Narration:
",,"Skye makes a big gesture of turning to the side, suddenly starting to talk loudly and gesturing broadly as if conversing with a group of people.
"
Chapter_2-0016900,Shrewd-Dreamer,"Skye:
",,"Well, what do you guys think?
"
Chapter_2-0017100,Shrewd-Dreamer,"[Kyo_FP_Shocked sprite appears]
",,"[Kyo_FP_Shocked sprite appears]
"
Chapter_2-0017400,Shrewd-Dreamer,"Narration:
",,"You and Kyo look at her bewilderedly as silence meets Skye's question, but Skye only continues talking to the air, nodding and humming, responding as if someone was talking back to her.
"
Chapter_2-0017700,Shrewd-Dreamer,"Skye:
",,"–you're right, I'm not in any other clubs right now but what about our campaigns? We usually conduct them right after school, we–
"
Chapter_2-0018000,Shrewd-Dreamer,"Player and Kyo:
",,"…
"
Chapter_2-0018300,Shrewd-Dreamer,"Narration:
",,"Skye continues talking to nothing. You’re starting to get concerned that staying in the chemical and dust filled janitor’s closet is having a more detrimental effect on her than one would expect.
"
Chapter_2-0018600,Shrewd-Dreamer,"Player:
",,"Uhhh… Skye?
"
Chapter_2-0018900,Shrewd-Dreamer,"Narration:
",,"Skye only hums at you, looking like she was only half listening to you as she continues to nod at the thin air near her.
"
Chapter_2-0019200,Shrewd-Dreamer,"Player:
",,"Who’re you talkin’ to?
"
Chapter_2-0019500,Shrewd-Dreamer,"Narration:
",,"Skye answers your question distractedly, still seeming completely engrossed at whatever it is she’s listening to.
"
Chapter_2-0019800,Shrewd-Dreamer,"Skye:
",,"I'm talking to my friends, of course.
"
Chapter_2-0020100,Shrewd-Dreamer,"Narration:
",,"Skye gestures at the empty air beside her, only half listening to your question.
"
Chapter_2-0020400,Shrewd-Dreamer,"Player and Kyo [Kyo_FP_Bruh]:
",,"…
"
Chapter_2-0020700,Shrewd-Dreamer,"Kyo:
",,"Goddamn, she looks almost as crazy as you.
"
Chapter_2-0021000,Shrewd-Dreamer,"Player:
",,"Shut up.
"
Chapter_2-0021200,Shrewd-Dreamer,"Player:
",,"Narration: 
"
Chapter_2-0021300,Shrewd-Dreamer,"Player:
",,"You hiss at Kyo, throwing a smack to the short boy’s shoulder that he dodges with an indignant yelp. You frantically turn back to Skye, hoping she didn’t hear Kyo’s expected but poorly timed smacktalk.
"
Chapter_2-0021500,Shrewd-Dreamer,"Player:
",,"Skye, unfortunately, did seem to notice your antics and blinks
"
Chapter_2-0021600,Shrewd-Dreamer,"Player:
",,"at you once more, bewildered.
"
Chapter_2-0021900,Shrewd-Dreamer,"Player:
",,"He's like this with everyone, don't worry about what he says. In fact, a general rule is that you probably should ignore most of what he says.
"
Chapter_2-0022100,Shrewd-Dreamer,"[Kyo Sprite becomes not the focus of scene, Skye Sprite centred]
",,"[Kyo Sprite becomes not the focus of scene, Skye Sprite centred]
"
Chapter_2-0022200,Shrewd-Dreamer,"[Skye_Smile2]
",,"[Skye_Smile2]
"
Chapter_2-0022400,Shrewd-Dreamer,"Player:
",,"Kyo’s exclamation of annoyance is drowned out by Skye’s reaction. She doesn't react negatively to Kyo’s ribbing. Instead, a bright smile suddenly breaks out on her face.
"
Chapter_2-0022700,Shrewd-Dreamer,"Skye:
",,"It's nice to know someone like me! A person who knows the
"
Chapter_2-0022800,Shrewd-Dreamer,"Skye:
",,"pros to our more unusual friends…
"
Chapter_2-0023100,Shrewd-Dreamer,"Player:
",,"Huh?
"
Chapter_2-0023400,Shrewd-Dreamer,"Kyo:
",,"The fuck, did she just call me unusual?
"
Chapter_2-0023700,Shrewd-Dreamer,"Narration:
",,"Skye's expression only brightens further, her thick glasses not nearly covering her delight.
"
Chapter_2-0024000,Shrewd-Dreamer,"Skye:
",,"You're pretty nice.
"
Chapter_2-0024300,Shrewd-Dreamer,"Narration:
",,"She looks consideringly to the side again, her smile turning contemplative.
"
Chapter_2-0024600,Shrewd-Dreamer,"Skye:
",,"I actually might consider visiting your club after all. After classes, of course. I'm pretty sure I can help you with things even without joining the club!
"
Chapter_2-0024900,Shrewd-Dreamer,"Narration:
",,"She suddenly rushes to grab your hand, making you stumble back in surprise. She quickly gives the limb a firm, decisive shake, before backing away just as quickly.
"
Chapter_2-0025200,Shrewd-Dreamer,"Skye:
",,"I'm looking at a very busy day ahead, so I'll be taking my leave now. It was nice to meet you, Player!
"
Chapter_2-0025500,Shrewd-Dreamer,"Narration:
",,"Skye cheerfully skips off down the school hallways, quickly disappearing through the corridors.
"
Chapter_2-0025700,Shrewd-Dreamer,"[Skye Sprite disappears]
",,"[Skye Sprite disappears]
"
Chapter_2-0025900,Shrewd-Dreamer,"Narration:
",,"You and Kyo stand there in dazed shock, both at the odd ending to the conversation and at her quick exit.
"
Chapter_2-0026200,Shrewd-Dreamer,"Player:
",,"Well… she was interesting.
"
Chapter_2-0026500,Shrewd-Dreamer,"Kyo:
",,"I mean, she’s a little weird, but so was the other one, and you…
"
Chapter_2-0026800,Shrewd-Dreamer,"Narration:
",,"Kyo’s words prompts an eye roll from you, breaking you from the reverie that Skye’s abrupt getaway left you. The two of you finally start to make your way to the clubroom again, the strange encounter still fresh on your minds.
"
Chapter_2-0027100,Shrewd-Dreamer,"Player:
",,"I think she’ll be a good addition to the team, and she’s nice, she and Atria will probably get along great.
"
Chapter_2-0027400,Shrewd-Dreamer,"Kyo:
",,"Sure, if you can get her to join. Still haven’t gotten to that part, remember?
"
Chapter_2-0027700,Shrewd-Dreamer,"Narration:
",,"You wince at Kyo’s reminder, but as you remember her look of wonder when you first asked her the question, you don’t think it’ll be very difficult to convince her.
"
Chapter_2-0027900,Shrewd-Dreamer,"Narration:
",,"She was happy to be invited, she may have some reservations but you have a feeling that everything’ll  turn out just fine. You shrug off Kyo’s pessimism, shooting the shorter boy an eyeroll as the two of you enter the clubroom to deal with your duties for the day.
"
Chapter_2-0028100,Shrewd-Dreamer,"[Scene Change]
",,"[Scene Change]
"
Chapter_2-0028400,Shrewd-Dreamer,"[Lunch Time]
",,"[Lunch Time]
"
Chapter_2-0028600,Shrewd-Dreamer,"[School Hallway]
",,"[School Hallway]
"
Chapter_2-0028900,Shrewd-Dreamer,"Narration:
",,"** RING ** [Bell SFX]
"
Chapter_2-0029100,Shrewd-Dreamer,"Narration:
",,"You eagerly leave your class for your break – your early start to the day didn’t leave you much time for breakfast, and the little you did eat didn’t sustain you ‘til lunch. You’ve been starving all day and your stomach has been trying to make itself known.
"
Chapter_2-0029300,Shrewd-Dreamer,"Narration:
",,"Encouraged by its angry rumblings, you make your way to the school store. Hopefully you weren’t too late to grab something. No one should have to handle the angry yowling that you know your stomach would continue to make if the beast wasn’t fed.
"
Chapter_2-0029500,Shrewd-Dreamer,"Narration:
",,"You hum thoughtfully as you think about what you’re going to buy when the sounds of particularly loud discussion catches your attention.
"
Chapter_2-0029800,Shrewd-Dreamer,"Student A:
",,"–just admit it, you were the one who sprayed that ugly thing on the back of the classroom, didn’t you. Everyone knows it was you.
"
Chapter_2-0030000,Shrewd-Dreamer,"[Skye_Default Centered]
",,"[Skye_Default Centered]
"
Chapter_2-0030300,Shrewd-Dreamer,"Narration:
",,"You notice a group of four gathered in a quiet corner. You aren’t sure what’s going on, but you recognize Skye standing with her back against the wall.
"
Chapter_2-0030500,Shrewd-Dreamer,"Narration:
",,"Three others were surrounding her, blocking her from any sort of way out. The interaction doesn’t seem like it's going well. You quietly duck behind a nearby wall, wondering what’s going on.
"
Chapter_2-0030700,Shrewd-Dreamer,"Narration:
",,"Skye sighs heavily, annoyance clear in her tone and expression.
"
Chapter_2-0031000,Shrewd-Dreamer,"Skye:
",,"Why would I graffiti the classroom? You’re accusing me out of nowhere. Again.
"
Chapter_2-0031300,Shrewd-Dreamer,"Narration:
",,"Skye's exasperated answer seems to only spur them on, with another member stepping up to batter at her unwavering stance.
"
Chapter_2-0031600,Shrewd-Dreamer,"Student B:
",,"Who else would’ve done it? You’ve always been attention seeking. Just the other day you were talking to thin air again! God, you’re annoying on a good day but now you’re actually destroying public property? Can you get any worse?
"
Chapter_2-0031900,Shrewd-Dreamer,"Narration:
",,"Skye scoffs at their accusations, squinting at her classmates incredulously.
"
