_DialogCode,_Chapter,_Name,_Comment,_Text
CHAP1-0000100,Prologue-A-Colorful-Entrance,,,"Prologue: A Colorful Entrance
"
CHAP1-0000300,Prologue-A-Colorful-Entrance,"[School hallway day]
",,"[School hallway day]
"
CHAP1-0000400,Prologue-A-Colorful-Entrance,"[Intro Music]
",,"[Intro Music]
"
CHAP1-0000700,Prologue-A-Colorful-Entrance,"Narration:
",,"It's lunch break at school, but the atmosphere is livelier than usual. Oh right, it's Club Day today. You still can't decide which club you want to join this year. 
"
CHAP1-0000900,Prologue-A-Colorful-Entrance,"Narration:
",,"You stop walking the hallways to look at the board of various club posters. Oh man, you've never joined one before, so the amount of options overwhelms you a little. You think of just joining multiple clubs at a time, but you quickly brush off that thought. Clubs are supposed to be a good break from the humdrum of academics. Don't get ahead of yourself.
"
CHAP1-0001100,Prologue-A-Colorful-Entrance,"Narration:
",,"There's an art club poster. That's a hard no. The most artistic you've ever been was when you colored the sky a solid green and the ground magenta. Only because the other crayons were missing. And that was in a coloring book. Not fun at all.
"
CHAP1-0001300,Prologue-A-Colorful-Entrance,"Narration:
",,"There's also a few posters advertising different sports clubs. No thanks. P.E. class already tires you out daily. There's no way you have endurance to do that kind of stuff in your precious free time. 
"
CHAP1-0001500,Prologue-A-Colorful-Entrance,"Narration:
",,"Oh god, there's also the paranormal activity club. No way. Nope. You don't take the supernatural as seriously as its club members do. You know this because earlier at brunch today, the club advertised by telling ghost stories that were, in their own words, “real, not clickbait.”
"
CHAP1-0001700,Prologue-A-Colorful-Entrance,"Narration:
",,"One of them even said, “In fact, there's a ghost in this school right now, giving bad luck to people who are about to do presentations!” Nonsense. You're a junior and you are damn sure that there were no ghosts the entire time you attended school.
"
CHAP1-0001900,Prologue-A-Colorful-Entrance,"Narration:
",,"It would be fine if the club was interested in ghosts just for fun, but their fervent attitude says otherwise. You shudder at the thought of even talking to them. 
"
