_DialogCode,_Chapter,_Name,_Comment,_Text
Chapter_1-0000100,The-Conditioned-Puppet,,,"Chapter 1: The Conditioned Puppet [Atria]
"
Chapter_1-0000300,The-Conditioned-Puppet,"[School Rooftop Day]
",,"[School Rooftop Day]
"
Chapter_1-0000400,The-Conditioned-Puppet,"[Atria's BGM]
",,"[Atria's BGM]
"
Chapter_1-0000700,The-Conditioned-Puppet,"Narration:
",,"…
"
Chapter_1-0000900,The-Conditioned-Puppet,"Narration:
",,"The fresh air really is relaxing when there's so much going on. Having to recruit members for a radio club of all things, and so suddenly too… as if that wasn’t crazy enough, the amount of drama at the school has been…irritating, to say the least.
"
Chapter_1-0001100,The-Conditioned-Puppet,"Narration:
",,"Hell, it was insane. You’ve even heard some stupid rumors that the school is haunted.
"
Chapter_1-0001400,The-Conditioned-Puppet,"Player:
",,"…People are so desperate to just get a reaction out of people, huh… at this point I don’t doubt this school’s going to digress into chaos.
"
Chapter_1-0001700,The-Conditioned-Puppet,"Kyo [Kyo_FP_Smiling]:
",,"Chaos? I call it fun!
"
Chapter_1-0002000,The-Conditioned-Puppet,"Player:
",,"WHAT TH–
"
Chapter_1-0002300,The-Conditioned-Puppet,"Kyo:
",,"Have you found any recruits yet?
"
Chapter_1-0002600,The-Conditioned-Puppet,"Player:
",,"…Warn me next time before sneaking up on me, will you?
"
Chapter_1-0002900,The-Conditioned-Puppet,"Kyo [Kyo_FP_Cheerful]:
",,"No thanks.
"
Chapter_1-0003200,The-Conditioned-Puppet,"Narration:
",,"Kyo leans forward, his hands on his hips. His expression screams nothing but smug mockery, plainly amused at your annoyance.
"
Chapter_1-0003500,The-Conditioned-Puppet,"Kyo:
",,"Now, you’ve found someone, right? Surely it can't be so hard to evaluate who here is a good candidate. Not when there are very few people who stand out amongst the rest.
"
Chapter_1-0003800,The-Conditioned-Puppet,"Narration:
",,"He speaks as if he already has certain people in mind. If so, why is he so insistent on you recruiting members as opposed to him?
"
Chapter_1-0004100,The-Conditioned-Puppet,"Player:
",,"No, Kyo, it has quite literally only been a couple hours.
"
Chapter_1-0004400,The-Conditioned-Puppet,"Kyo [Kyo_FP_Bruh]:
",,"Mhm… from the way you’re acting now, I’ve most likely put too much faith in you… I guarantee you’re just too introverted to go up and ask someone to join.
"
Chapter_1-0004700,The-Conditioned-Puppet,"Player:
",,"…Actually, I genuinely haven’t seen anyone who looks suitable. A radio club requires someone who is willing to… well, talk. Right?
"
Chapter_1-0005000,The-Conditioned-Puppet,"Kyo:
",,"Right…
"
Chapter_1-0005200,The-Conditioned-Puppet,"Kyo:
",,"You sure you're not just scared to interact with people?
"
Chapter_1-0005500,The-Conditioned-Puppet,"Player:
",,"Shut up.
"
Chapter_1-0005800,The-Conditioned-Puppet,"Narration:
",,"Jeez. For someone he just met, Kyo sure has some nerve.
"
Chapter_1-0006100,The-Conditioned-Puppet,"Player:
",,"I hate to break it to you, Mr. know-it-all, but I have yet to see anybody who seems talkative. If anything, I’m the most extroverted person here.
"
Chapter_1-0006400,The-Conditioned-Puppet,"Narration [Kyo_FP_Cheerful]:
",,"Kyo just shoots you a cocky grin, rolling his eyes playfully. 
"
Chapter_1-0006700,The-Conditioned-Puppet,"Kyo:
",,"Mhm, very believable. Just be a bit more observant, will you? It really can’t be that difficult to find someone.
"
Chapter_1-0007000,The-Conditioned-Puppet,"Player:
",,"But-
"
Chapter_1-0007300,The-Conditioned-Puppet,"Kyo:
",,"Yeah, yeah. I get it. Your short attention span won't allow you to tune into one person for more than 15 seconds.
"
Chapter_1-0007600,The-Conditioned-Puppet,"Narration:
",,"You scowl at his remark, but your reaction only further enables him to keep poking at you. You didn’t really mind his banter, but at the very least you wish you could have the ability to snap back.
"
Chapter_1-0007900,The-Conditioned-Puppet,"Player:
",,"What do you want me to do? Just sit and observe as someone goes about their day?? Just stand menacingly in some corner and watch them?
"
Chapter_1-0008200,The-Conditioned-Puppet,"Kyo [Kyo_SP_Default]:
",,"No need to make it sound so creepy. Listen, you gotta do what you gotta do. Just don’t make it too obvious. Though, from what I’ve seen, I’m starting to even question whether you’re capable of that much.
"
Chapter_1-0008300,The-Conditioned-Puppet,"[Proceed to two choices: <Let it slide> or <Try proving him wrong>]
",,"[Proceed to two choices: <Let it slide> or <Try proving him wrong>]
"
Chapter_1-0008500,The-Conditioned-Puppet,"[Choice 1: Let it slide]
",,"[Choice 1: Let it slide]
"
Chapter_1-0008800,The-Conditioned-Puppet,"Narration:
",,"Kyo snickers, tilting his head momentarily as if discreetly pointing somewhere. 
"
Chapter_1-0009100,The-Conditioned-Puppet,"Kyo:
",,"I bet you anything if you actually listen you’ll find someone immediately.
"
Chapter_1-0009400,The-Conditioned-Puppet,"Narration:
",,"Your eyes follow the direction of his nudge.
"
Chapter_1-0009600,The-Conditioned-Puppet,"[Scene reconverges here]
",,"[Scene reconverges here]
"
Chapter_1-0009900,The-Conditioned-Puppet,"[Choice 2: Try proving him wrong]
",,"[Choice 2: Try proving him wrong]
"
Chapter_1-0010200,The-Conditioned-Puppet,"Narration:
",,"You glance around, searching for someone you can listen in on to make your point.
"
Chapter_1-0010400,The-Conditioned-Puppet,"Narration:
",,"Your ears pick up on some commotion, and your attention drifts.
"
Chapter_1-0010500,The-Conditioned-Puppet,"Narration:
",,"		[Scene reconverges here]
"
Chapter_1-0010700,The-Conditioned-Puppet,"[Remove Kyo]
",,"[Remove Kyo]
"
Chapter_1-0010800,The-Conditioned-Puppet,"[Atria1_Happy. Darken by 50%, centered]
",,"[Atria1_Happy. Darken by 50%, centered]
"
Chapter_1-0011100,The-Conditioned-Puppet,"Narration:
",,"At that moment, you see a group of girls across the courtyard. They all seem rather silent–bored, even– but one of them in particular stands out to you.
"
Chapter_1-0011400,The-Conditioned-Puppet,"???:
",,"Anyways! About the person I was talking about earlier, the one that I frequently watch. They did this one stream recently, it was a collaboration with some of my favorite streamers! When I saw the waiting room for it, I got really excited!
"
Chapter_1-0011700,The-Conditioned-Puppet,"???:
",,"I sent it to you guys a while back, though I’m not sure if you saw it? Neither of you responded… Do you think there's a possibility we could watch it together sometime?
"
Chapter_1-0012000,The-Conditioned-Puppet,"Narration:
",,"The two other girls look at each other before faking a smile towards her direction.
"
Chapter_1-0012300,The-Conditioned-Puppet,"Girl A:
",,"...You’re ranting about these streamers every two seconds, you expect us to know which one you are talking about?
"
Chapter_1-0012600,The-Conditioned-Puppet,"??? [Atria1_Nervous]:
",,"Oh- …Yeah. Sorry. I guess sometimes I just say stuff without really thinking.
"
Chapter_1-0012900,The-Conditioned-Puppet,"??? [Atria2_Happy]:
",,"The one with… let’s see, I'm trying to think of a way to describe this to someone who doesn’t watch them. They have… blue hair. It’s short, around shoulder length. Does that ring a bell?
"
Chapter_1-0013200,The-Conditioned-Puppet,"Narration:
",,"Wait…
"
Chapter_1-0013400,The-Conditioned-Puppet,"Narration:
",,"Short… blue hair…? That's…
"
Chapter_1-0013600,The-Conditioned-Puppet,"Narration:
",,"Kind of silly.
"
Chapter_1-0013900,The-Conditioned-Puppet,"???:
",,"I understand if you guys don’t remember! I know I can speak a bit quickly at times.
"
Chapter_1-0014100,The-Conditioned-Puppet,"???:
",,"Oh! Yeah, the one I was talking about yesterday!! Surely you remember th–
"
Chapter_1-0014400,The-Conditioned-Puppet,"Girl A:
",,"Hello? Earth to Atria?
"
Chapter_1-0014600,The-Conditioned-Puppet,"Girl A:
",,"You know, the Atria that thinks before she goes on meaningless tangents? We’re tired of you constantly bothering us about stuff we aren’t interested in.
"
Chapter_1-0014800,The-Conditioned-Puppet,"[Atria2_Nervous]
",,"[Atria2_Nervous]
"
Chapter_1-0015100,The-Conditioned-Puppet,"Narration:
",,"The small yellow haired girl, supposedly named Atria, tenses at the others’ remark. She had been rambling excitedly about her interests just a moment ago and yet… her tone suddenly falters.
"
Chapter_1-0015400,The-Conditioned-Puppet,"Atria:
",,"...A-Ah.. was I too much?..
"
Chapter_1-0015700,The-Conditioned-Puppet,"Girl B:
",,"Atria, you can’t keep forgetting we raised you to be silent.
"
Chapter_1-0016000,The-Conditioned-Puppet,"Atria:
",,"I’m sorry… I didn’t mean to do anything…
"
Chapter_1-0016300,The-Conditioned-Puppet,"Girl B:
",,"It's the same answer every single time. No matter how much we remind you, you go back to your annoying little ‘hyperfixations’.
"
Chapter_1-0016500,The-Conditioned-Puppet,"Girl B:
",,"Surely you can try a bit harder? You’ve been like this for years now. Is there really something stopping you from just… realizing we don’t care?
"
Chapter_1-0016800,The-Conditioned-Puppet,"Atria [Atria1_Nervous]:
",,"Genuinely, I didn’t mean to do anything…
"
Chapter_1-0017100,The-Conditioned-Puppet,"Girl B:
",,"Do you want us to help you or not?
"
Chapter_1-0017400,The-Conditioned-Puppet,"Atria:
",,"I’m sorry, okay?
"
Chapter_1-0017700,The-Conditioned-Puppet,"Girl B:
",,"We at least had some sort of faith in you. We thought we could change you to stop you from constantly babbling on…but you haven’t even made any ounce of progress.
"
Chapter_1-0018000,The-Conditioned-Puppet,"Girl A:
",,"The only reason we even tolerate you is because we feel bad.
"
Chapter_1-0018200,The-Conditioned-Puppet,"[Atria1_Sad]
",,"[Atria1_Sad]
"
Chapter_1-0018500,The-Conditioned-Puppet,"Narration:
",,"Atria opens her mouth, as if to speak, but no sound escapes her.
"
Chapter_1-0018700,The-Conditioned-Puppet,"Narration:
",,"Her voice is caught, suffocated by the others words and the fear of the repercussions of standing up for herself. Her body language speaks volumes, clearly burdened by the weight of the expectations placed upon her.
"
Chapter_1-0018900,The-Conditioned-Puppet,"Narration:
",,"In a shaky, pitiful murmur, she chokes out a rebuttal.
"
Chapter_1-0019200,The-Conditioned-Puppet,"Atria:
",,"I-I said I’m sorry, okay?
"
Chapter_1-0019500,The-Conditioned-Puppet,"Narration:
",,"Atria seems to regret speaking up halfway through her argument, audible desperation in her wavering voice. However, it was simple idiocy to think that the two standing next to her would back down so easily.
"
Chapter_1-0019800,The-Conditioned-Puppet,"Girl B:
",,"You really can’t do anything right, can you?
"
Chapter_1-0020100,The-Conditioned-Puppet,"Narration:
",,"The girl at her side clicks her tongue, smiling manipulatively.
"
Chapter_1-0020400,The-Conditioned-Puppet,"Girl B:
",,"We’re nice enough to give you advice, and you can’t even shut up and take it? You’re lucky we even waste our effort on you. What happened to the promise you made us? That you’d do what we ask of you? Do you really want a repeat of what happened last time?
"
Chapter_1-0020700,The-Conditioned-Puppet,"Narration:
",,"The third individual reaches upwards, placing a hand on Atria’s shoulder ‘comfortingly’. 
"
Chapter_1-0020900,The-Conditioned-Puppet,"[Atria2_Sad. Make sprite jump in surprise]
",,"[Atria2_Sad. Make sprite jump in surprise]
"
Chapter_1-0021100,The-Conditioned-Puppet,"Narration:
",,"This only causes Atria to flinch and instinctively put her hands up in defense.
"
Chapter_1-0021400,The-Conditioned-Puppet,"Girl A:
",,"...We’ll take that reaction as a no.
"
Chapter_1-0021700,The-Conditioned-Puppet,"Girl A:
",,"Remember, we're your only friends. We're really just trying to do you a favor.
"
Chapter_1-0022000,The-Conditioned-Puppet,"Atria:
",,"…
"
Chapter_1-0022300,The-Conditioned-Puppet,"Narration:
",,"There is a hesitation that lasts for what seems like an eternity, as Atria’s expression fades. Her emotion is lacking in comparison to mere seconds ago. It seems forced, for sure, yet it's clear she’s putting significant effort into holding this mask.
"
Chapter_1-0022600,The-Conditioned-Puppet,"Atria [Atria2_Timid]:
",,"…Yeah, thank you for reminding me.
"
Chapter_1-0022900,The-Conditioned-Puppet,"Narration:
",,"She lowers her gaze, attempting with all her will to keep a strong, emotionless veil. This would have been manageable for the time being, but the two others don’t even respond to her submission.
"
Chapter_1-0023100,The-Conditioned-Puppet,"Narration:
",,"They just… stare. 
"
Chapter_1-0023300,The-Conditioned-Puppet,"Narration:
",,"Stare as she attempts to keep her composure.
"
Chapter_1-0023600,The-Conditioned-Puppet,"Atria:
",,"…
"
Chapter_1-0023900,The-Conditioned-Puppet,"Atria:
",,"…
"
Chapter_1-0024100,The-Conditioned-Puppet,"[Atria2_Sad – only shown momentarily before she disappears]
",,"[Atria2_Sad – only shown momentarily before she disappears]
"
Chapter_1-0024200,The-Conditioned-Puppet,"[Footstep SFX]
",,"[Footstep SFX]
"
Chapter_1-0024500,The-Conditioned-Puppet,"Kyo [FP_Shocked, centered]:
",,"…
"
Chapter_1-0024800,The-Conditioned-Puppet,"Kyo:
",,"Das crazy.
"
Chapter_1-0025100,The-Conditioned-Puppet,"Player:
",,"…That's really all you have to say?
"
Chapter_1-0025300,The-Conditioned-Puppet,"[Kyo_FP_Smiling]
",,"[Kyo_FP_Smiling]
"
Chapter_1-0025600,The-Conditioned-Puppet,"Narration:
",,"Kyo looks at you with an obvious smugness, outwardly unphased by… whatever had just happened between those three. 
"
