_DialogCode,_Chapter,_Name,_Comment,_Text
Chapter_3-0000100,The-Moon-Prince,,,"Chapter 3: The Moon Prince [Esmeray]
"
Chapter_3-0000300,The-Moon-Prince,"[Radio Club Basic + Printer + Mic + Laptop]
",,"[Radio Club Basic + Printer + Mic + Laptop]
"
Chapter_3-0000400,The-Moon-Prince,"[Esmeray's BGM]
",,"[Esmeray's BGM]
"
Chapter_3-0000700,The-Moon-Prince,"Narration:
",,"It's been a couple of days since Skye joined the group.
"
Chapter_3-0000900,The-Moon-Prince,"Narration:
",,"The Radio Club is now livelier than ever, much to Kyo's playful dismay, as you, Atria, and Skye chat loudly and often in the club room.
"
Chapter_3-0001100,The-Moon-Prince,"Narration:
",,"Now, all you need is one more member to make the club official. But who?
"
Chapter_3-0001300,The-Moon-Prince,"[Transition to School Hallway Day]
",,"[Transition to School Hallway Day]
"
Chapter_3-0001600,The-Moon-Prince,"Narration:
",,"As you're deep in thought and walking down the hallways of ILUNA Academy, you snap to attention when you hear loud giggles, flirts, and cheers coming from a crowd in front of you.
"
Chapter_3-0001800,The-Moon-Prince,"[Esmeray (Amused) Appears on Screen, labeled as ???]
",,"[Esmeray (Amused) Appears on Screen, labeled as ???]
"
Chapter_3-0002000,The-Moon-Prince,"Narration:
",,"In the center of the crowd is a tall dude with dark turquoise hair, lots of black and shiny bling, and pretty turquoise-gold eyes.
"
Chapter_3-0002200,The-Moon-Prince,"Narration:
",,"Some of the people in the crowd have signs in their hands.
"
Chapter_3-0002400,The-Moon-Prince,"Narration:
",,"""We love you, Esmeray!"" says the one in the hands of an enthusiastically cheering girl.
"
Chapter_3-0002600,The-Moon-Prince,"Narration:
",,"""The Prince of the Dark Moon, and my heart <3"" says another in the hands of a tall, totally smitten boy.
"
Chapter_3-0002800,The-Moon-Prince,"Narration:
",,"The person in the center winks at the two of them, a lax smile on his face as he does so.
"
