_DialogCode,_Chapter,_Name,_Comment,_Text
Chapter_epi-0000100,Prologue-A-Colorful-Entrance,,,"Epilogue: A Prismatic Farewell
"
Chapter_epi-0000300,Prologue-A-Colorful-Entrance,"[Music Room Basic All]
",,"[Music Room Basic All]
"
Chapter_epi-0000400,Prologue-A-Colorful-Entrance,"[Outro BGM]
",,"[Outro BGM]
"
Chapter_epi-0000700,Prologue-A-Colorful-Entrance,"Narration:
",,"After finally registering the club last week, you walk into the radio club classroom with a little bounce in your steps. It's the first official radio club meeting today, and you're excited!
"
Chapter_epi-0000900,Prologue-A-Colorful-Entrance,"Narration:
",,"You look at the notes you wrote on your phone to remember what you're discussing with all the club members. It's simple enough: assign roles to the club members and finalize the plan for future activities.
"
Chapter_epi-0001100,Prologue-A-Colorful-Entrance,"Narration:
",,"Now you just need to wait for them to show up. They didn't forget about you telling them earlier in the day to meet you at lunch, right? You hope not.
"
Chapter_epi-0001300,Prologue-A-Colorful-Entrance,"Narration:
",,"Speaking of showing up, will Kyo even be here? You weren't even able to tell him all the good news, because you haven't seen him all day. Well, it's on him for choosing to miss this momentous occasion.
"
Chapter_epi-0001500,Prologue-A-Colorful-Entrance,"Narration:
",,"The door opens.
"
Chapter_epi-0001700,Prologue-A-Colorful-Entrance,"[Atria1_happy, left]
",,"[Atria1_happy, left]
"
Chapter_epi-0002000,Prologue-A-Colorful-Entrance,"Atria:
",,"I'm here.
"
Chapter_epi-0002200,Prologue-A-Colorful-Entrance,"[Skye_smile, center]
",,"[Skye_smile, center]
"
Chapter_epi-0002500,Prologue-A-Colorful-Entrance,"Skye:
",,"And so am I!
"
Chapter_epi-0002800,Prologue-A-Colorful-Entrance,"Player:
",,"Now, where the heck is Esme—
"
Chapter_epi-0003000,Prologue-A-Colorful-Entrance,"[Esmeray_neutral, right]
",,"[Esmeray_neutral, right]
"
Chapter_epi-0003300,Prologue-A-Colorful-Entrance,"Esmeray:
",,"My bad. Had to shake off my fans, but I'm good now. 
"
Chapter_epi-0003600,Prologue-A-Colorful-Entrance,"Skye:
",,"Pssh, okay, Mr. Famous.
"
Chapter_epi-0003900,Prologue-A-Colorful-Entrance,"Player:
",,"You sure they're not gonna follow you?
"
Chapter_epi-0004200,Prologue-A-Colorful-Entrance,"Esmeray:
",,"I mean, more club members, am I right?
"
Chapter_epi-0004500,Prologue-A-Colorful-Entrance,"Narration:
",,"The three of you stare at him.
"
Chapter_epi-0004800,Prologue-A-Colorful-Entrance,"Esmeray [Amused]:
",,"Okay okay, I'm just kidding. I was a little late on finishing my classwork. I'll be early next time.
"
Chapter_epi-0005100,Prologue-A-Colorful-Entrance,"Player:
",,"I'll hold you to that.
"
Chapter_epi-0005400,Prologue-A-Colorful-Entrance,"Narration:
",,"Esmeray laughs.
"
Chapter_epi-0005700,Prologue-A-Colorful-Entrance,"Player:
",,"Alright y'all, we got business to take care of. First, we gotta decide what our roles are.
"
Chapter_epi-0006000,Prologue-A-Colorful-Entrance,"Skye:
",,"Well, it's obvious what you're gonna be. Club president! 
"
Chapter_epi-0006300,Prologue-A-Colorful-Entrance,"Narration:
",,"You put your hands on your hips.
"
Chapter_epi-0006600,Prologue-A-Colorful-Entrance,"Player:
",,"Yup! I'll be doing more of the behind the scenes stuff. As for the other roles… 
"
Chapter_epi-0006900,Prologue-A-Colorful-Entrance,"Skye:
",,"I've already decided.
"
Chapter_epi-0007200,Prologue-A-Colorful-Entrance,"Player:
",,"Wait, I haven't even said what the other roles are yet.
"
Chapter_epi-0007500,Prologue-A-Colorful-Entrance,"Skye:
",,"Well, you're gonna need someone to write scripts, right? Then I'll do it.
"
Chapter_epi-0007800,Prologue-A-Colorful-Entrance,"Player:
",,"Sounds good. 
"
Chapter_epi-0008100,Prologue-A-Colorful-Entrance,"Skye:
",,"I can also get the latest scoops on what's going around at school. The janitor's closet is quite handy for getting a hold of hot tea, you know.
"
Chapter_epi-0008400,Prologue-A-Colorful-Entrance,"Player:
",,"Can you handle doing both?
"
Chapter_epi-0008700,Prologue-A-Colorful-Entrance,"Skye:
",,"Hell yeah brother.
"
Chapter_epi-0009000,Prologue-A-Colorful-Entrance,"Narration:
",,"You flash a smile. This is already going pretty smoothly.
"
Chapter_epi-0009300,Prologue-A-Colorful-Entrance,"Player:
",,"Now, Esmeray…
"
Chapter_epi-0009600,Prologue-A-Colorful-Entrance,"Esmeray [Neutral]:
",,"Hm?
"
Chapter_epi-0009900,Prologue-A-Colorful-Entrance,"Player:
",,"You'll be in charge of making little jingles before and after we're done announcing and stuff. Oh, and I'm thinking we could add in music segments in our broadcasts too. 
"
Chapter_epi-0010200,Prologue-A-Colorful-Entrance,"Esmeray:
",,"You got it.
"
Chapter_epi-0010500,Prologue-A-Colorful-Entrance,"Narration:
",,"Esmeray takes out a small notebook. He starts writing and humming to himself.
"
Chapter_epi-0010800,Prologue-A-Colorful-Entrance,"Player:
",,"And finally, Atria, you'll be the one on the speakers! 
"
Chapter_epi-0011100,Prologue-A-Colorful-Entrance,"Atria [Atria1_Nervous]:
",,"Um, are you sure? I'm not that loud and confident yet…
"
Chapter_epi-0011400,Prologue-A-Colorful-Entrance,"Player:
",,"You don't have to be the only speaker of course. We can do it together.
"
Chapter_epi-0011700,Prologue-A-Colorful-Entrance,"Narration:
",,"Atria slowly regains her smile.
"
Chapter_epi-0012000,Prologue-A-Colorful-Entrance,"Atria [Atria1_Happy]:
",,"That'd be easier for me. Thank you.
"
Chapter_epi-0012300,Prologue-A-Colorful-Entrance,"Player:
",,"Alright, now we gotta think of our future plans for this club.
"
Chapter_epi-0012600,Prologue-A-Colorful-Entrance,"Atria:
",,"Actually, is it okay if I suggest something?
"
Chapter_epi-0012900,Prologue-A-Colorful-Entrance,"Player:
",,"Of course.
"
Chapter_epi-0013200,Prologue-A-Colorful-Entrance,"Atria:
",,"It's Back to School Night next week. The staff wants clubs to help out with the concessions. 
"
Chapter_epi-0013500,Prologue-A-Colorful-Entrance,"Player:
",,"Then we should join! So, are we all free to help out with the concessions next week?
"
Chapter_epi-0013800,Prologue-A-Colorful-Entrance,"Narration:
",,"The other three club members say yes.
"
Chapter_epi-0014100,Prologue-A-Colorful-Entrance,"Player:
",,"Alright, we're done then. 
"
Chapter_epi-0014400,Prologue-A-Colorful-Entrance,"Narration:
",,"Happiness feels like it's going to burst out of your chest. It really feels like an actual club now. No wait, it's not just a club. It feels like you have a friend group for real too. You wonder if everyone's down for a group hug before they leave.
"
Chapter_epi-0014600,Prologue-A-Colorful-Entrance,"Narration:
",,"You open your arms wide.
"
Chapter_epi-0014900,Prologue-A-Colorful-Entrance,"Player:
",,"I know this is out of nowhere but… Who's down for a group hug?!
"
Chapter_epi-0015200,Prologue-A-Colorful-Entrance,"Atria [Atria1_Nervous]:
",,"Huh?
"
Chapter_epi-0015500,Prologue-A-Colorful-Entrance,"Skye [Skye_smile2]:
",,"Heh, sure, why not. Come on, get over here, Atria.
"
Chapter_epi-0015800,Prologue-A-Colorful-Entrance,"Esmeray [Amused]:
",,"Wait, we're actually doing this? Hold on a minute—
"
Chapter_epi-0016000,Prologue-A-Colorful-Entrance,"Esmeray [Amused]:
",,"CG of the Player hugging all the three club members together. 
"
Chapter_epi-0016300,Prologue-A-Colorful-Entrance,"Player:
",,"Hehe, thanks y'all. 
"
Chapter_epi-0016600,Prologue-A-Colorful-Entrance,"Narration:
",,"The lunch bell rings, and all of you part ways as you wave to each other. 
"
Chapter_epi-0016800,Prologue-A-Colorful-Entrance,"[Scene ends]
",,"[Scene ends]
"
Chapter_epi-0017000,Prologue-A-Colorful-Entrance,"[School Hallway Night]
",,"[School Hallway Night]
"
